intent,intent_id,train_count,test_count,f1_scores
38,confirm_no,28,4,0.0
37,confo_casestatus_no,50,9,12.5
36,confo_casestatus,64,8,66.67
35,Default Welcome Intent,19,1,0.0
34,agent_name,38,8,100.0
33,user_welcome,32,5,44.44
32,commission_location,20,2,66.67
31,agent_beclever,36,4,88.89
30,Default_Greeting_Intent,21,2,40.0
29,confo_casestatus_st-dist_no,28,2,0.0
28,agent_assist,22,1,66.67
27,case_formats,51,4,44.44
26,confo_casestatus_st-dist,45,5,44.44
25,confo_how_causelist,50,2,100.0
24,greetings_bye,20,1,100.0
23,agent_origin,17,0,0.0
22,caseconfirm_yes,63,11,64.0
21,covid_lockdown,9,2,66.67
20,confo_caseslist,43,2,80.0
19,agent_introduceyourself,8,4,57.14
18,confo_casestatus_st-dist_getcase_no,48,8,47.62
17,confo_exam,18,2,80.0
16,greetings_nice_to_see_you,19,2,66.67
15,agent_real,37,4,85.71
14,agent_annoying,29,2,66.67
13,confo_casestatus_st-dist_getcase,27,3,0.0
12,confo_what_is_causelist_yes,32,5,0.0
11,confo_what_is_causelist,42,3,100.0
10,user_talklater,44,2,66.67
9,greetings_goodnight,18,2,66.67
8,about_confonet,17,2,100.0
7,user_thankyou,34,1,0.0
6,agent_appreciate,21,3,100.0
5,agent_available,37,3,100.0
4,agent_chatbot,17,5,60.0
3,confo_case_notuploaded,42,4,57.14
2,agent_bad,31,1,100.0
1,confo_what_is_displayboard,13,2,100.0
0,Default_Fallback_Intent,2,1,0.0
